Data_id,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated
1109,5,0,0
1110,5,0,0
1111,5,0,0
1112,5,0,0
1113,5,0,0
1114,5,0,0
1115,5,0,0
1116,8,0,0
1117,8,0,0
1118,8,0,0
1119,8,0,0
1120,11,0,0
1121,11,0,0
1122,11,0,0
1123,14,0,0
1124,20,0,0
1125,25,0,0
1126,26,0,0
1127,26,0,0
1128,26,0,0
1129,24,0,0
1130,24,0,0
1131,34,0,0
1132,40,1,0
1133,42,1,0
1134,74,1,0
1135,80,2,0
1136,91,2,0
1137,106,2,0
1138,114,4,0
1139,114,4,0
1140,166,4,0
1141,192,4,0
1142,235,4,0
1143,269,5,0
1144,270,5,0
1145,299,7,0
1146,337,7,0
1147,367,11,0
1148,423,14,0
1149,444,15,0
1150,521,15,0
1151,521,15,0
1152,555,18,0
1153,607,19,0
1154,665,22,0
1155,770,25,0
1156,794,29,0
1157,845,30,0
1158,908,30,0
1159,933,30,0
1160,996,33,0
1161,1026,36,0
1162,1092,36,0
1163,1176,40,0
1164,1226,40,0
1165,1330,43,0
1166,1463,49,0
1167,1531,50,0
1168,1703,60,0
1169,1827,60,0
1170,1827,60,0
1171,2171,64,0
1172,2469,72,0
1173,2469,72,0
1174,2469,72,0
1175,2469,72,0
1176,3224,95,0
1177,3392,104,0
1178,3563,105,0
1179,3563,105,0
1180,4402,119,0
1181,4664,120,0
1182,4967,127,0
1183,4967,127,0
1184,5339,136,0
1185,6053,153,0
1186,6402,168,0
1187,6635,169,0
1188,7072,173,0
1189,7655,177,0
1190,8145,187,0
1191,8676,193,0
1192,9216,205,0
1193,9952,215,0
1194,10668,222,0
1195,11180,223,0
1196,11917,224,0
1197,12465,230,0
1198,13102,239,0
1199,13745,250,0
1200,14529,252,0
1201,15180,254,0
1202,15836,269,0
1203,16578,274,0
1204,17353,298,0
1205,17977,303,0
1206,19055,313,0
1207,19637,331,0
1208,20428,361,0
1209,21003,373,0
1210,21308,380,0
1211,22228,409,0
1212,22976,430,0
1213,23632,450,0
1214,24188,455,0
1215,24852,475,0
1216,25613,480,0
1217,25719,488,0
1218,26960,508,0
1219,27423,550,0
1220,27964,552,0
1221,28383,552,0
1222,28919,585,0
1223,29229,602,0
1224,29567,622,0
1225,29726,643,0
1226,30261,679,0
1227,30346,684,0
1228,30702,707,0
1229,31053,733,0
1230,31324,737,0
1231,31445,739,0
1232,31848,778,0
1233,32108,811,0
1234,32410,823,0
1235,32758,830,0
1236,33037,868,0
1237,33150,891,0
1238,33470,924,0
1239,33680,940,0
1240,33739,941,0
1241,34280,975,0
1242,34437,979,0
1243,34537,1014,0
1244,34541,1016,0
1245,34826,1049,0
1246,35026,1098,0
1247,35156,1117,0
1248,35315,1151,0
1249,35375,1151,0
1250,35561,1185,0
1251,35595,1187,0
1252,35701,1188,0
1253,35813,1194,0
1254,36001,1215,0
1255,36067,1229,0
1256,36122,1250,0
1257,36243,1263,0
1258,36349,1273,0
1259,36454,1274,0
1260,36557,1275,0
1261,36628,1275,0
1262,36628,1275,0
1263,36796,1287,0
1264,36796,1287,0
1265,36796,1287,0
1266,36833,1292,0
1267,36915,1298,0
1268,36982,1302,0
1269,37023,1302,0
1270,37101,1311,0
1271,37140,1316,0
